,Time,Latitude,Longitude,Depth,Magnitude,Date
,09:43:23,29.06,77.42,5,2.5,31-07-2021
,23:04:57,19.93,72.92,5,2.4,30-07-2021
,21:31:10,31.5,74.37,33,3.4,30-07-2021
,13:56:31,28.34,76.23,5,3.1,30-07-2021
,07:19:38,27.09,89.97,10,2.1,30-07-2021
,04:39:14,38.52,73.27,115,5.2,30-07-2021
,03:33:16,27.9,94.2,10,3,30-07-2021
,18:47:30,26.6,92.51,28,3.1,29-07-2021
,14:09:29,22.88,95.95,10,5.5,29-07-2021
,16:11:30,37.96,72.39,160,4.3,27-07-2021
,05:54:26,32.29,76.65,10,2.6,27-07-2021
,16:38:34,38.1,75.45,10,4.4,26-07-2021
,14:19:17,36.78,73.49,19,4.2,26-07-2021
,10:33:31,24.6,94.33,50,4.9,26-07-2021
,05:00:53,16,78.22,10,4,26-07-2021
,20:39:22,27.29,88.5,10,4,25-07-2021
,04:41:22,37.37,71.85,100,4.2,25-07-2021
,09:55:40,28.97,77.2,18,2.4,24-07-2021
,01:42:50,36.57,70.78,250,4.5,24-07-2021
,01:28:41,30.74,78.68,10,3.4,24-07-2021
,21:31:58,27.56,91.13,10,3.2,23-07-2021
,18:42:01,27.35,86.86,10,3.5,23-07-2021
,11:46:58,25.94,92.56,5,2.9,23-07-2021
,16:28:47,24.84,94.15,40,3.5,22-07-2021
,07:42:15,29.65,69.5,15,4.8,22-07-2021
,12:45:04,27.32,88.86,10,2.8,21-07-2021
,10:12:30,36.88,71.61,23,3.6,21-07-2021
,05:24:29,29.19,70.05,110,5.3,21-07-2021
,04:57:46,34.2,77.78,200,3.6,21-07-2021
,02:10:49,25.88,90.34,10,4.1,21-07-2021
,02:06:28,29.01,76.91,5,2.1,21-07-2021
,01:18:07,29.01,76.91,5,2.3,21-07-2021
,23:19:21,29.28,69.05,250,4.5,20-07-2021
,21:03:34,20.02,72.92,5,3.4,19-07-2021
,18:46:58,27.4,88.62,10,3.2,19-07-2021
,20:44:34,28.84,81.22,23,3.8,18-07-2021
,12:43:39,23.39,70.39,10,3.9,18-07-2021
,10:08:58,34.13,77.8,20,3.7,18-07-2021
,04:48:28,32.43,76.48,10,2.6,18-07-2021
,02:59:02,28.75,76.6,10,2.2,18-07-2021
,02:55:14,28.69,76.71,10,2.8,18-07-2021
,23:32:28,31.58,78.19,5,3.1,16-07-2021
,09:54:15,37.23,71.25,146,3.6,16-07-2021
,08:39:11,26.48,92.44,10,3.4,16-07-2021
,00:51:46,22.48,94.42,10,3.1,16-07-2021
,19:47:26,31.19,77.92,10,3.6,15-07-2021
,07:23:18,17.47,73.26,5,3.5,15-07-2021
,05:48:34,36.66,71.64,10,4,15-07-2021
,02:04:40,23.46,94.61,19,4.4,15-07-2021
,01:40:51,22.45,94.19,10,3.8,15-07-2021
,00:03:08,36.52,71.14,10,3.5,15-07-2021
,23:33:26,28.89,89,10,3.4,14-07-2021
,19:55:09,25.99,90.4,8,3.4,14-07-2021
,13:47:49,36.52,71.31,70,3.9,14-07-2021
,11:17:27,36.56,71.43,20,3.9,14-07-2021
,02:40:33,36.47,70.72,165,4.6,14-07-2021
,22:40:28,29.12,77.4,5,2.4,13-07-2021
,01:44:59,14.5,93.14,10,4.2,13-07-2021
,04:49:18,38.44,71.59,10,3.1,12-07-2021
,12:19:09,39.11,69.57,130,3.8,11-07-2021
,08:42:04,19.7,77.28,10,3,11-07-2021
,08:33:17,19.73,77.77,10,4.4,11-07-2021
,07:04:49,38.81,70.34,10,4.2,11-07-2021
,11:36:10,39.14,70.94,160,4.3,10-07-2021
,11:18:08,39.04,70.68,160,4.7,10-07-2021
,08:11:14,2.25,97.29,40,5.5,10-07-2021
,07:44:46,38.91,70.73,37,5.9,10-07-2021
,07:31:12,26.62,92.45,17,3.1,10-07-2021
,13:16:25,25.99,90.27,5,4.3,09-07-2021
,07:08:35,37.05,72,90,4.6,09-07-2021
,05:56:27,24.7,94.99,90,4.5,09-07-2021
,18:53:26,34.83,97.83,10,4.8,08-07-2021
,17:02:43,26.34,92.79,15,2.9,08-07-2021
,13:50:55,36.51,71.26,167,5.1,08-07-2021
,04:22:13,37.4,73.03,10,4.1,08-07-2021
,15:32:07,31.66,96.56,10,3.9,07-07-2021
,13:56:42,25.97,90.42,10,3.7,07-07-2021
,12:57:13,34.68,98.42,22,4.5,07-07-2021
,08:45:25,26.15,90.28,14,5.2,07-07-2021
,23:46:17,37.78,74.16,10,4.3,06-07-2021
,19:47:58,37.3,72.52,10,4.1,06-07-2021
,15:10:49,37.5,69.18,46,3.9,06-07-2021
,22:36:54,28.7,76.65,5,3.7,05-07-2021
,20:20:59,24.67,94.14,20,2.8,05-07-2021
,16:36:17,22.46,93.64,10,3.5,05-07-2021
,09:04:09,27.25,89.38,14,2.9,05-07-2021
,03:18:37,32.89,98.86,120,4.6,05-07-2021
,23:46:23,39.17,71.78,50,4.1,04-07-2021
,22:27:15,26.22,96.31,45,3.8,04-07-2021
,19:00:52,24.81,93.9,30,3.3,04-07-2021
,23:02:19,36.55,70.86,168,3.9,03-07-2021
,07:07:43,20.05,72.94,5,3.6,01-07-2021
,21:35:36,20.01,72.83,5,3.1,30-06-2021
,21:02:17,26.52,92.52,65,2.7,30-06-2021
,18:37:25,27.4,89.54,50,3.1,29-06-2021
,12:18:05,30.084,80.26,10,3.7,28-06-2021
,06:10:35,34.49,78.43,18,4.6,28-06-2021
,01:26:59,39.32,75.05,10,3.8,26-06-2021
,00:36:34,25.48,93.79,10,2.3,26-06-2021
,09:26:35,37.12,72.11,30,3.9,25-06-2021
,06:41:19,36.6,71.27,16,3.8,25-06-2021
,04:34:44,34.87,69.15,10,5.3,25-06-2021
,11:57:00,20.01,72.95,5,3.7,24-06-2021
,10:28:58,35.81,70.93,131,4.5,24-06-2021
,02:19:42,39.81,77.07,10,3.9,24-06-2021
,06:39:14,33.38,71.51,100,4.5,23-06-2021
,22:14:35,28.13,92.09,70,4.6,22-06-2021
,15:37:03,28.28,87.82,10,4,21-06-2021
,12:57:41,26.53,92.67,15,2.8,21-06-2021
,06:56:04,1.6,92.23,10,4.9,21-06-2021
,06:09:41,27,93.43,10,3,21-06-2021
,12:02:01,28.67,77.14,7,2.1,20-06-2021
,05:41:49,31.29,78.46,15,3.1,20-06-2021
,01:31:43,29.55,84.31,15,4.3,20-06-2021
,01:22:50,25.28,94.3,30,3.6,20-06-2021
,01:02:07,28.89,94.79,17,3.1,20-06-2021
,19:29:15,31.9,69.92,10,4.8,19-06-2021
,01:07:32,26.72,92.4,30,4.2,19-06-2021
,15:45:42,23.42,70.32,20,4,18-06-2021
,12:42:51,26.73,92.4,10,2.8,18-06-2021
,04:20:21,25.67,91.29,10,2.6,18-06-2021
,02:04:40,26.73,92.44,22,4.1,18-06-2021
,01:06:08,24.3,94.1,10,3,18-06-2021
,19:49:40,34.73,73.26,20,4.8,17-06-2021
,16:44:44,7.29,84.63,50,4.8,17-06-2021
,14:18:59,38.02,93.53,10,5.4,16-06-2021
,08:01:58,36.07,65.46,10,4.1,16-06-2021
,03:22:18,34.29,70.27,30,4.4,16-06-2021
,02:24:45,23.83,94,15,2.7,16-06-2021
,22:53:57,26.59,92.19,10,3,15-06-2021
,20:16:07,26.65,97,10,4.4,15-06-2021
,15:43:42,31.68,75.56,36,2.9,15-06-2021
,18:35:46,37.75,73.21,10,4,14-06-2021
,01:15:54,37.22,72.47,50,3.9,14-06-2021
,22:47:35,26.52,92.28,10,2.8,13-06-2021
,12:58:08,36.39,71.3,110,4,13-06-2021
,03:08:25,17.69,95.69,10,3.9,13-06-2021
,00:01:27,20.81,84.99,5,3.5,13-06-2021
,15:30:51,24.85,97.85,19,4.9,12-06-2021
,07:14:43,36.48,70.78,30,4.3,12-06-2021
,04:53:12,27.07,92.52,10,3.6,11-06-2021
,17:06:01,31.96,72.89,10,4.1,09-06-2021
,18:58:38,36.26,71.83,120,4.3,08-06-2021
,18:56:48,34.4,81.6,10,3.9,08-06-2021
,21:26:45,37.04,72.66,20,4.1,06-06-2021
,06:21:52,32.99,75.82,5,2.5,06-06-2021
,00:07:15,24.48,94.48,47,2.6,06-06-2021
,14:04:49,37.47,72.6,10,3.7,05-06-2021
,00:47:17,25.29,94.68,10,3.1,05-06-2021
,18:58:16,31.7,68.72,10,4.1,04-06-2021
,15:02:13,24.97,94.96,80,3.6,04-06-2021
,23:04:00,32.41,76.51,10,2.9,03-06-2021
,11:25:23,34.68,97.8,63,4.8,03-06-2021
,08:16:27,24.27,94.28,10,3.5,03-06-2021
,02:17:44,36.9,67.75,150,4.1,03-06-2021
,01:20:19,37.74,68.24,120,3.8,03-06-2021
,01:15:38,10.6,91.52,10,4.2,03-06-2021
,23:26:59,36.39,68.39,10,4.3,02-06-2021
,16:33:27,26.41,90.15,5,2.8,02-06-2021
,15:10:29,36.93,68.11,10,4.4,02-06-2021
,15:01:41,36.84,68.4,10,4.3,02-06-2021
,09:38:25,26.55,96.05,10,3.6,02-06-2021
,23:48:30,26.77,92.42,10,3.5,01-06-2021
,16:05:30,36.67,71.5,135,4.2,01-06-2021
,15:47:03,33.12,75.87,5,3.1,01-06-2021
,06:56:31,37.16,71.79,46,4.3,01-06-2021
,01:19:34,23.21,94.64,80,4.7,01-06-2021
,21:54:04,28.72,77.13,8,2.4,31-05-2021
,09:50:50,26.69,92.35,24,3.8,31-05-2021
,02:00:36,24.65,94.77,24,3.4,31-05-2021
,15:26:55,36.35,70.27,59,4.1,30-05-2021
,14:23:06,26.69,92.39,16,4.1,30-05-2021
,12:25:17,34.55,98.29,12,4.7,30-05-2021
,10:20:15,34.61,98.07,10,4.7,30-05-2021
,19:08:16,24.51,94.69,16,3.9,29-05-2021
,13:30:11,24.79,91.61,3.4,3.4,29-05-2021
,10:06:50,25.09,92.17,15,3,29-05-2021
,07:11:55,38.1,74.14,150,4.5,29-05-2021
,01:29:04,25.57,91.78,10,3.5,29-05-2021
,22:21:22,22.53,94.62,90,4.4,28-05-2021
,12:53:25,37.15,69.31,30,5.3,28-05-2021
,09:28:05,27.76,66.39,10,4.6,28-05-2021
,04:14:36,37.82,72.34,10,3.6,28-05-2021
,03:16:53,36.07,70.89,170,3.7,28-05-2021
,01:32:26,38.84,74.71,10,2.8,28-05-2021
,23:59:05,25.04,93.52,12,2.7,27-05-2021
,20:34:07,26.54,99.5,10,4,27-05-2021
,18:36:09,34.55,99.06,30,4.8,27-05-2021
,14:24:47,30.66,67.02,100,4.4,27-05-2021
,06:08:38,30.76,65.94,117,4.4,27-05-2021
,13:11:23,26.85,88.72,5,3.8,26-05-2021
,12:24:40,29.33,87,10,3.6,26-05-2021
,12:13:31,29.54,86.43,10,3.9,26-05-2021
,02:16:12,28.99,86.46,150,4.5,26-05-2021
,00:53:08,23.55,94.58,90,4.3,26-05-2021
,00:20:35,25.36,94.11,30,2.6,26-05-2021
,04:30:23,34.9,97.83,10,4.5,25-05-2021
,20:35:23,4.24,95.16,52,4.6,24-05-2021
,19:45:41,33.93,97.17,81,4.3,24-05-2021
,00:31:45,30.94,79.44,22,4.3,24-05-2021
,13:06:16,37.31,70.51,14,3.3,23-05-2021
,09:16:53,17.36,73.84,5,3.3,23-05-2021
,07:26:53,37.31,72.32,349,4.1,23-05-2021
,06:56:42,24.79,94.94,109,4.3,23-05-2021
,00:56:15,35.27,73.57,5,3.5,23-05-2021
,21:10:00,27.73,92.58,10,2.8,22-05-2021
,17:44:52,25.59,99.08,10,4.3,22-05-2021
,15:09:38,34.77,97.39,10,4.5,22-05-2021
,13:29:03,33.15,75.92,10,3.3,22-05-2021
,12:36:33,34.1,97.8,10,4.5,22-05-2021
,09:33:40,35.47,99.56,34,4.2,22-05-2021
,08:51:19,34.78,97.96,12,4.6,22-05-2021
,08:37:47,34.57,76.64,40,3.6,22-05-2021
,08:08:49,34.53,98.43,10,5,22-05-2021
,07:59:33,35.02,97.6,10,4.7,22-05-2021
,07:18:16,25.78,99.01,10,4.1,22-05-2021
,06:08:33,19.72,95.56,16,4.1,22-05-2021
,03:29:37,34.56,98.28,10,4.7,22-05-2021
,01:34:33,34.66,98.19,10,4.5,22-05-2021
,01:19:15,34.64,97.94,10,4.5,22-05-2021
,00:33:09,34.49,98.94,10,4.8,22-05-2021
,23:34:14,34.65,98.06,10,7,21-05-2021
,23:21:00,26.26,96.94,10,2.9,21-05-2021
,23:06:20,25.77,99.16,10,4,21-05-2021
,20:54:00,26.06,98.46,30,4.3,21-05-2021
,20:01:22,25.88,99.35,10,5,21-05-2021
,19:18:41,25.67,99.96,100,5.8,21-05-2021
,11:02:32,35.29,77.98,90,4.2,21-05-2021
,15:05:20,32.83,76.13,10,3.2,20-05-2021
,13:39:21,37.06,71.61,84,4,20-05-2021
,22:24:30,28.26,84.59,10,4.4,19-05-2021
,21:08:56,28.3,84.61,10,3.9,19-05-2021
,17:55:49,26.22,91.47,30,3.2,19-05-2021
,14:49:30,34.05,70.5,180,4.5,19-05-2021
,14:34:18,33.04,75.92,5,3.2,19-05-2021
,12:06:53,28.72,77.03,5,1.9,19-05-2021
,08:11:39,28.2,84.42,10,4.9,19-05-2021
,05:28:56,28.24,84.36,10,5.3,19-05-2021
,17:33:00,26.72,92.45,19,3.8,18-05-2021
,16:23:28,37.34,76.88,10,4.2,18-05-2021
,04:24:46,15.46,93.37,34,4.1,18-05-2021
,10:07:39,30.92,91.88,165,4.2,17-05-2021
,09:41:55,36.02,71.67,175,4.3,17-05-2021
,07:07:03,37.22,72.18,115,4,17-05-2021
,03:37:18,20.68,71.02,10,3.8,17-05-2021
,20:12:19,26.06,92.6,5,2.5,16-05-2021
,01:25:29,27.21,92.34,22,2.6,16-05-2021
,08:33:55,26.74,92.39,16,3.9,15-05-2021
,05:09:53,26.28,95.26,81,4.2,15-05-2021
,01:02:35,22.85,93.75,30,3.1,15-05-2021
,22:12:03,24.99,95.03,101,4.3,14-05-2021
,15:24:05,39.57,73.03,10,4.7,14-05-2021
,12:03:09,0.14,96.75,10,6.6,14-05-2021
,06:32:21,36.49,69.45,147,4.7,14-05-2021
,14:05:31,36.77,86.62,10,4.8,13-05-2021
,09:15:00,23.519,92.614,10,3.3,13-05-2021
,02:05:16,25.93,92.84,10,2.6,13-05-2021
,20:57:45,25.59,92.43,20,2.3,12-05-2021
,19:10:44,36.79,71.58,82,3.9,12-05-2021
,00:27:38,26.73,92.36,16,3.1,12-05-2021
,21:37:09,34.51,74.16,10,3.1,10-05-2021
,13:34:23,36.45,71.06,174,4.3,10-05-2021
,07:05:52,26.49,92.46,23,3,10-05-2021
,03:49:00,32.32,76.86,5,2.4,10-05-2021
,02:01:56,27.76,92.86,10,2.4,10-05-2021
,00:11:26,26.69,92.42,23,3.7,10-05-2021
,23:58:06,26.68,92.39,18,2.9,09-05-2021
,09:03:26,22.46,92.8,28,3.7,09-05-2021
,07:23:37,37.25,71.94,108,4.4,09-05-2021
,05:19:57,36.32,71.22,25,3.6,09-05-2021
,02:54:43,33.05,75.99,5,2.7,09-05-2021
,18:50:14,25.63,91.95,13,3.1,08-05-2021
,13:57:44,17.46,74.51,10,2.7,08-05-2021
,13:54:56,17.36,73.84,10,2.5,08-05-2021
,10:26:41,29.77,80.58,9,3.2,08-05-2021
,10:26:18,31.52,68.67,113,4.5,08-05-2021
,10:24:18,25.18,93.6,154,3.8,08-05-2021
,08:09:50,32.98,76.08,10,3,08-05-2021
,01:09:55,26.32,91.44,28,2.9,08-05-2021
,22:46:41,27.25,88.68,10,3.1,07-05-2021
,19:33:18,26.75,92.42,10,2.8,07-05-2021
,16:51:17,36.45,70.99,180,4.2,07-05-2021
,14:55:27,37.22,70.02,238,4.3,07-05-2021
,13:46:46,36.26,71.31,210,4.2,07-05-2021
,13:41:06,38.48,75.04,50,4.3,07-05-2021
,10:05:41,34.89,73.62,50,3.7,07-05-2021
,06:58:23,22.96,95.07,74,3.6,07-05-2021
,06:13:10,26.33,92.34,68,2.8,07-05-2021
,00:41:36,22.41,78.95,30,3,07-05-2021
,00:19:36,27.01,92.46,17,2.9,07-05-2021
,18:30:19,36.41,71.11,156,4.2,06-05-2021
,10:30:16,26.55,92.39,10,3.6,06-05-2021
,08:31:58,25.88,92.24,10,2.9,06-05-2021
,19:22:12,26.68,92.39,27,3.5,05-05-2021
,12:49:51,25.13,94.87,50,3.9,05-05-2021
,05:48:50,27.39,92.38,10,3.2,05-05-2021
,04:01:23,8.69,94.41,85,4.3,05-05-2021
,02:19:48,23.79,93.92,10,3.2,05-05-2021
,16:58:37,36.47,71.41,120,3.9,04-05-2021
,12:38:35,28.52,86.5,165,4.1,04-05-2021
,04:14:48,23.43,94.11,93,3.9,04-05-2021
,03:27:15,38.36,75.52,136,4.3,04-05-2021
,00:43:56,37.11,74.41,10,4.8,04-05-2021
,00:09:03,26.65,92.41,25,2.8,04-05-2021
,23:16:23,31.71,91.84,10,3.7,03-05-2021
,22:05:12,26.09,90.41,33,2.5,03-05-2021
,21:55:01,26.71,92.39,17,2.8,03-05-2021
,18:13:08,26.74,92.45,10,3.7,03-05-2021
,16:11:29,25.9,95.21,53.9,3.5,03-05-2021
,02:19:40,5.804,94.887,10,4.5,03-05-2021
,01:23:39,26.43,92.24,40,2.7,03-05-2021
,00:26:32,26.87,91.94,10,2.8,03-05-2021
,23:02:37,26.82,92.43,13,2.6,02-05-2021
,16:49:19,25.06,65.36,25,4.2,02-05-2021
,03:48:51,26.71,92.4,16,2.7,02-05-2021
,20:26:58,26.73,92.37,14,2.7,01-05-2021
,20:09:46,26.72,92.39,15,3.3,01-05-2021
,12:57:58,26.09,92.31,27,2.6,01-05-2021
,02:17:33,18.86,96.95,75,4.4,01-05-2021
,01:04:27,37.03,72.34,50,3.4,01-05-2021
,22:13:27,5.64,94.44,30,4.6,30-04-2021
,19:51:07,38,69.25,50,3.9,30-04-2021
,19:44:08,30.64,76.01,10,2.9,30-04-2021
,19:10:06,24.38,94.65,34,3.6,30-04-2021
,18:27:31,26.59,92.39,27,3.2,30-04-2021
,16:49:28,26.58,92.51,40,3.5,30-04-2021
,03:29:12,24.87,93.59,10,2.6,30-04-2021
,02:34:04,23.54,94.8,10,3.6,30-04-2021
,02:30:33,27.31,89.12,5,2.1,30-04-2021
,02:18:05,34.65,73.14,10,3.6,30-04-2021
,01:59:13,37.22,71.68,27,3.5,30-04-2021
,01:36:07,36.38,71.31,150,4.4,30-04-2021
,01:08:23,26.9,92.43,10,2.8,30-04-2021
,21:02:08,28.16,71.56,51,3.6,29-04-2021
,19:14:48,26.74,92.36,10,2.8,29-04-2021
,16:17:33,26.59,92.47,26,3.3,29-04-2021
,15:37:47,8.47,77.51,5,2.3,29-04-2021
,13:04:20,26.61,92.33,27,3.6,29-04-2021
,11:27:44,36.14,71.17,75,4.1,29-04-2021
,07:13:36,26.86,93.01,30,2.8,29-04-2021
,02:38:33,26.73,92.42,11,2.7,29-04-2021
,01:52:26,26.73,92.43,16,2.7,29-04-2021
,01:41:49,26.78,92.4,11,2.3,29-04-2021
,01:20:53,26.72,92.43,19,4.6,29-04-2021
,01:10:24,26.71,92.4,19,2.9,29-04-2021
,00:24:02,26.76,92.93,18,2.6,29-04-2021
,23:07:54,16.86,75.72,5,2.6,28-04-2021
,21:38:11,26.73,92.38,15,2.8,28-04-2021
,20:13:12,29.97,67.88,10,3.9,28-04-2021
,17:39:57,26.62,92.4,19,3,28-04-2021
,17:04:04,32.14,76.61,5,2.7,28-04-2021
,15:55:48,26.77,92.36,10,2.9,28-04-2021
,14:34:52,26.83,92.5,10,3.4,28-04-2021
,12:32:06,26.36,92.38,23,2.9,28-04-2021
,10:39:12,26.62,92.46,10,3.4,28-04-2021
,10:05:54,26.39,92.52,27,3.2,28-04-2021
,08:44:34,26.59,92.46,25,3.6,28-04-2021
,08:25:40,26.54,92.45,26,3.6,28-04-2021
,08:13:21,26.69,92.41,20,4,28-04-2021
,08:03:01,26.74,92.42,15,4.7,28-04-2021
,07:51:25,26.69,92.36,17,6.4,28-04-2021
,22:32:17,36.69,71.62,165,4.1,27-04-2021
,19:10:43,28.98,76.72,10,3,27-04-2021
,12:42:04,26.81,92.73,28,2.6,27-04-2021
,10:47:13,36.31,75.67,158,4.5,27-04-2021
,10:39:11,25.43,91.9,5,3,27-04-2021
,01:35:25,37.84,73.23,150,4.8,26-04-2021
,10:18:44,36.68,70.99,200,3.9,25-04-2021
,09:11:35,38.33,74.21,125,4,25-04-2021
,05:23:39,32.76,76.2,5,2.2,25-04-2021
,22:27:06,36.48,69.41,56,4.4,24-04-2021
,20:15:06,36.51,71.62,120,3.9,24-04-2021
,00:53:23,28.53,94.56,10,2.8,24-04-2021
,13:20:34,36.46,70.98,190,4.7,23-04-2021
